animal,fold,n_train,n_val,group_violations,C,gamma,accuracy,macro_f1,food_f1,elapsed_s
dog,2,90,23,,10.0,0.001,0.8695652173913043,0.8711843711843712,,0.014513969421386719
dog,2,90,23,,10.0,0.01,0.391304347826087,0.1875,,0.00844883918762207
dog,3,91,22,,0.1,scale,0.3181818181818182,0.16091954022988506,,0.0053331851959228516
dog,3,91,22,,0.1,0.001,0.3181818181818182,0.16091954022988506,,0.003999948501586914
dog,3,91,22,,0.1,0.01,0.3181818181818182,0.16091954022988506,,0.005007028579711914
dog,3,91,22,,1.0,scale,0.5909090909090909,0.5688888888888889,,0.0049991607666015625
dog,3,91,22,,1.0,0.001,0.5909090909090909,0.5688888888888889,,0.006011009216308594
dog,3,91,22,,1.0,0.01,0.4090909090909091,0.19354838709677422,,0.0039997100830078125
dog,3,91,22,,10.0,scale,0.6363636363636364,0.6011396011396011,,0.00468754768371582
dog,3,91,22,,10.0,0.001,0.6363636363636364,0.6011396011396011,,0.004126787185668945
dog,3,91,22,,10.0,0.01,0.4090909090909091,0.19354838709677422,,0.005993843078613281
dog,4,91,22,,0.1,scale,0.5454545454545454,0.45555555555555555,,0.005255699157714844
dog,4,91,22,,0.1,0.001,0.5454545454545454,0.4603174603174603,,0.0039997100830078125
dog,4,91,22,,0.1,0.01,0.3181818181818182,0.16091954022988506,,0.0050122737884521484
dog,4,91,22,,1.0,scale,0.8636363636363636,0.86007326007326,,0.004324674606323242
dog,4,91,22,,1.0,0.001,0.8636363636363636,0.86007326007326,,0.0056607723236083984
dog,4,91,22,,1.0,0.01,0.4090909090909091,0.19354838709677422,,0.004999637603759766
dog,4,91,22,,10.0,scale,0.8636363636363636,0.86007326007326,,0.004012346267700195
dog,4,91,22,,10.0,0.001,0.8636363636363636,0.86007326007326,,0.003999948501586914
dog,4,91,22,,10.0,0.01,0.4090909090909091,0.19354838709677422,,0.0043909549713134766
cat,0,322,118,0.0,0.1,scale,0.2711864406779661,0.23392453848976746,0.3177570093457944,0.030750751495361328
cat,0,322,118,0.0,0.1,0.001,0.2711864406779661,0.23392453848976746,0.3177570093457944,0.030005931854248047
cat,0,322,118,0.0,0.1,0.01,0.5254237288135594,0.22962962962962963,0.0,0.02850794792175293
cat,0,322,118,0.0,1.0,scale,0.4067796610169492,0.37696896366886073,0.24390243902439024,0.02905726432800293
cat,0,322,118,0.0,1.0,0.001,0.4067796610169492,0.3681515922576258,0.21052631578947367,0.02651071548461914
cat,0,322,118,0.0,1.0,0.01,0.5254237288135594,0.22962962962962963,0.0,0.028888940811157227
cat,0,322,118,0.0,10.0,scale,0.4322033898305085,0.3987719786871131,0.2702702702702703,0.03017568588256836
cat,0,322,118,0.0,10.0,0.001,0.4322033898305085,0.3874074074074074,0.2222222222222222,0.027997970581054688
cat,0,322,118,0.0,10.0,0.01,0.5254237288135594,0.22962962962962963,0.0,0.02860569953918457
cat,1,319,121,0.0,0.1,scale,0.23140495867768596,0.12527964205816555,0.0,0.03073287010192871
cat,1,319,121,0.0,0.1,0.001,0.23140495867768596,0.12527964205816555,0.0,0.02989339828491211
cat,1,319,121,0.0,0.1,0.01,0.23140495867768596,0.12527964205816555,0.0,0.0297393798828125
cat,1,319,121,0.0,1.0,scale,0.6611570247933884,0.5902520827662228,0.36363636363636365,0.02846837043762207
