animal,classifier,fold,n_train,n_val,group_violations,epochs,config,accuracy,macro_f1,food_f1,elapsed_s
dog,svm_rbf,0,90,23,,,"C=10.0, gamma=scale",0.7391304347826086,0.7424242424242425,,0.004370927810668945
dog,svm_rbf,1,90,23,,,"C=10.0, gamma=scale",0.5652173913043478,0.5787037037037037,,0.006016254425048828
dog,svm_rbf,2,90,23,,,"C=10.0, gamma=scale",0.8695652173913043,0.8711843711843712,,0.0
dog,svm_rbf,3,91,22,,,"C=10.0, gamma=scale",0.6363636363636364,0.6011396011396011,,0.00468754768371582
dog,svm_rbf,4,91,22,,,"C=10.0, gamma=scale",0.8636363636363636,0.86007326007326,,0.004012346267700195
cat,dense_head,0,322,118,0.0,10.0,,0.5508474576271186,0.5215103554726196,0.33962264150943394,2.08396577835083
cat,dummy_floor,0,322,118,0.0,,,0.5254237288135594,0.22962962962962963,0.0,0.0010001659393310547
cat,logreg,0,322,118,0.0,,,0.4661016949152542,0.45317640220866034,0.3870967741935484,0.04658842086791992
cat,svm_linear,0,322,118,0.0,,,0.4661016949152542,0.4541182863225594,0.38596491228070173,0.027039289474487305
cat,lda,0,322,118,0.0,,,0.5,0.46066157617159015,0.3508771929824561,0.6110849380493164
cat,dense_head,1,319,121,0.0,7.0,,0.6363636363636364,0.5656623275315683,0.33962264150943394,1.7385270595550537
cat,dummy_floor,1,319,121,0.0,,,0.5454545454545454,0.23529411764705885,0.0,0.0
cat,logreg,1,319,121,0.0,,,0.5785123966942148,0.4586784084948099,0.13953488372093023,0.05106019973754883
cat,svm_linear,1,319,121,0.0,,,0.5950413223140496,0.48359450008367905,0.14634146341463414,0.024924516677856445
cat,lda,1,319,121,0.0,,,0.6198347107438017,0.5059707038941302,0.20512820512820512,0.6216602325439453
cat,dense_head,2,352,88,0.0,6.0,,0.36363636363636365,0.3414285714285714,0.16,1.8937196731567383
cat,dummy_floor,2,352,88,0.0,,,0.4090909090909091,0.19354838709677422,0.0,0.0
cat,logreg,2,352,88,0.0,,,0.3977272727272727,0.4038176135469884,0.29411764705882354,0.08424901962280273
cat,svm_linear,2,352,88,0.0,,,0.3409090909090909,0.34414278531925596,0.24615384615384617,0.041086435317993164
cat,lda,2,352,88,0.0,,,0.4090909090909091,0.407307010365521,0.3076923076923077,0.743842601776123
cat,dense_head,3,327,113,0.0,8.0,,0.6902654867256637,0.660455486542443,0.6190476190476191,2.1529626846313477
cat,dummy_floor,3,327,113,0.0,,,0.504424778761062,0.22352941176470587,0.0,0.0
cat,logreg,3,327,113,0.0,,,0.5929203539823009,0.5410973084886128,0.4166666666666667,0.053099870681762695
cat,svm_linear,3,327,113,0.0,,,0.5752212389380531,0.5291929410697274,0.425531914893617,0.03299903869628906
cat,lda,3,327,113,0.0,,,0.5752212389380531,0.5235579842137219,0.4444444444444444,0.7787017822265625
